tier,division,match_id
GRANDMASTERS,GR,NA1_4585767199
GRANDMASTERS,GR,NA1_4585746964
GRANDMASTERS,GR,NA1_4585278099
GRANDMASTERS,GR,NA1_4585017912
GRANDMASTERS,GR,NA1_4584971729
GRANDMASTERS,GR,NA1_4584928650
GRANDMASTERS,GR,NA1_4584897453
GRANDMASTERS,GR,NA1_4584868458
GRANDMASTERS,GR,NA1_4584837164
GRANDMASTERS,GR,NA1_4584794649
GRANDMASTERS,GR,NA1_4584516867
GRANDMASTERS,GR,NA1_4584490767
GRANDMASTERS,GR,NA1_4584172573
GRANDMASTERS,GR,NA1_4584153430
GRANDMASTERS,GR,NA1_4584135892
GRANDMASTERS,GR,NA1_4584105323
GRANDMASTERS,GR,NA1_4584075959
GRANDMASTERS,GR,NA1_4584007357
GRANDMASTERS,GR,NA1_4583644138
GRANDMASTERS,GR,NA1_4583632076
GRANDMASTERS,GR,NA1_4583622485
GRANDMASTERS,GR,NA1_4583298997
